ncessch,seasch,school_name,city,county,latitude,longitude,grades_offered,enrollment_total,frpl_pct,pct_black,pct_hispanic,pct_white,pct_other,pct_ell,pct_swd,authorizer,charter_year_opened,data_year
470369010509,00750-8001,American Classical Academy Rutherford,LaVergne,Rutherford County,35.999706,-86.58861,KG-5,195,,16.4,29.2,43.1,11.3,,,Rutherford County,,2024
470014802317,00792-8150,Arrow Academy of Excellence,Memphis,Shelby County,35.1143,-89.9614,KG-5,76,,86.8,10.5,2.6,0.1,,,Memphis-Shelby County Schools,,2024
470014802632,00792-8257,Aurora Collegiate Academy,Memphis,Shelby County,35.14812,-89.89972,PK-5,340,,7.6,90.6,0.9,0.9,,,Memphis-Shelby County Schools,,2024
470318010427,00190-8015,Aventura Community Schools,Nashville,Davidson County,36.10712,-86.73368,KG-8,284,,10.2,56.3,28.5,5.0,,,Davidson County,,2024
470014802635,00792-8338,Beacon College Preparatory,Memphis,Shelby County,35.191437,-89.89167,KG-5,321,,57.6,36.4,3.1,2.9,,,Memphis-Shelby County Schools,,2024
470014802489,00792-8350,Believe Memphis Academy Charter School,Memphis,Shelby County,35.084393,-90.015785,KG-8,467,,96.8,1.1,0.2,1.9,,,Memphis-Shelby County Schools,,2024
470015702688,00987-8005,Bluff City High School,Memphis,Shelby County,35.036514,-89.8394,9-12,514,,77.8,19.3,2.3,0.6,,,Tennessee Public Charter School Commission,,2024
470014702309,00985-8005,Brick Church: A LEAD Public School,Nashville,Davidson County,36.220505,-86.78143,,,,,,,,,,Achievement School District,,2024
470159010476,00330-8006,Chatt Academy Community School,Chattanooga,Hamilton County,35.035263,-85.2259,6-7,93,,36.6,43.0,10.8,9.6,,,Hamilton County,,2024
470159002284,00330-8003,Chattanooga Charter School of Excellence,Chattanooga,Hamilton County,35.019093,-85.281204,KG-5,468,,62.4,28.6,4.3,4.7,,,Hamilton County,,2024
470159010430,00330-8015,Chattanooga Charter School of Excellence High,Chattanooga,Hamilton County,35.00636,-85.30663,9-12,113,,62.8,32.7,1.8,2.7,,,Hamilton County,,2024
470159002434,00330-8010,Chattanooga Charter School of Excellence Middle,Chattanooga,Hamilton County,35.02041,-85.27935,6-8,250,,50.0,44.4,1.6,4.0,,,Hamilton County,,2024
470159002211,00330-8001,Chattanooga Girls Leadership Academy,Chattanooga,Hamilton County,35.03361,-85.27707,6-12,354,,38.1,53.7,3.1,5.1,,,Hamilton County,,2024
470159002510,00330-8011,Chattanooga Preparatory School,Chattanooga,Hamilton County,35.03301,-85.27674,6-12,539,,51.2,38.4,4.3,6.1,,,Hamilton County,,2024
470014802044,00792-8201,Circles Of Success Learning Academy,Memphis,Shelby County,35.108,-90.0332,KG-5,195,,99.5,0.5,0.0,0.0,,,Memphis-Shelby County Schools,,2024
470014802352,00792-8145,City University School Girls Preparatory,Memphis,Shelby County,35.018818,-90.0154,6-8,94,,93.6,5.3,0.0,1.1,,,Memphis-Shelby County Schools,,2024
470014802400,00792-8265,City University School of Independence,Memphis,Shelby County,35.018818,-90.0154,9-12,13,,100.0,0.0,0.0,0.0,,,Memphis-Shelby County Schools,,2024
470014802083,00792-8204,City University School Of Liberal Arts,Memphis,Shelby County,35.018818,-90.0154,9-12,179,,89.9,5.0,1.1,4.0,,,Memphis-Shelby County Schools,,2024
470014802585,00792-8185,Compass Community School Berclair Campus,Memphis,Shelby County,35.147533,-89.93178,KG-8,231,,3.9,93.9,2.2,0.0,,,Memphis-Shelby County Schools,,2024
470014802589,00792-8190,Compass Community School Binghampton Campus,Memphis,Shelby County,35.143745,-89.975624,KG-8,201,,19.9,71.1,3.0,6.0,,,Memphis-Shelby County Schools,,2024
470014802605,00792-8195,Compass Community School Frayser Campus,Memphis,Shelby County,35.226604,-90.02126,KG-8,200,,30.0,63.0,5.5,1.5,,,Memphis-Shelby County Schools,,2024
470014802594,00792-8360,Compass Community School Hickory Hill Campus,Memphis,Shelby County,35.051956,-89.88013,KG-8,241,,13.3,83.0,2.1,1.6,,,Memphis-Shelby County Schools,,2024
470014802611,00792-8365,Compass Community School Midtown Campus,Memphis,Shelby County,35.139812,-89.999985,9-12,373,,31.9,63.5,1.6,3.0,,,Memphis-Shelby County Schools,,2024
470014802582,00792-8370,Compass Community School Orange Mound Campus,Memphis,Shelby County,35.097775,-89.97196,KG-8,203,,61.6,36.5,0.5,1.4,,,Memphis-Shelby County Schools,,2024
470015702295,00987-8010,Cornerstone Prep - Lester,Memphis,Shelby County,35.141148,-89.96354,PK-5,354,,96.6,0.3,2.5,0.6,,,Tennessee Public Charter School Commission,,2024
470015701046,00987-8115,Cornerstone Prep Denver Campus,Memphis,Shelby County,35.21779,-89.99842,PK-5,657,,96.3,0.8,0.8,2.1,,,Tennessee Public Charter School Commission,,2024
470015710445,00987-8035,Cornerstone Prep School,Memphis,Shelby County,35.068237,-89.889786,KG-2,85,,61.2,34.1,2.4,2.3,,,Tennessee Public Charter School Commission,,2024
470014802548,00792-8325,Crosstown High School,Memphis,Shelby County,35.15247,-90.01328,9-12,520,,50.8,13.5,30.6,5.1,,,Memphis-Shelby County Schools,,2024
470318002258,00190-8009,East End Preparatory School,Nashville,Davidson County,36.2065,-86.7184,KG-8,837,,82.6,10.0,3.6,3.8,,,Davidson County,,2024
470222002448,00470-8001,Emerald Academy,Knoxville,Knox County,35.9675,-83.93328,KG-8,451,,64.1,14.0,12.2,9.7,,,Knox County,,2024
470318002449,00190-8060,Explore Community School,Nashville,Davidson County,36.167183,-86.75396,KG-8,591,,57.0,5.4,29.8,7.8,,,Davidson County,,2024
470014701058,00985-8055,Fairley High School,Memphis,Shelby County,35.012096,-90.05105,,,,,,,,,,Achievement School District,,2024
470014802471,00792-8155,Freedom Prep Elementary - Millbranch,Memphis,Shelby County,35.046337,-90.00589,KG-5,495,,81.0,17.4,0.6,1.0,,,Memphis-Shelby County Schools,,2024
470014802636,00792-8375,Freedom Prep Elementary - Parkrose,Memphis,Shelby County,35.02578,-90.09031,PK-5,386,,90.4,8.8,0.5,0.3,,,Memphis-Shelby County Schools,,2024
470014802565,00792-8355,Freedom Prep Middle - Brownlee,Memphis,Shelby County,35.03202,-90.03658,6-12,335,,77.3,20.3,1.2,1.2,,,Memphis-Shelby County Schools,,2024
470014802208,00792-8234,Freedom Preparatory Academy Flagship,Memphis,Shelby County,35.0088,-90.0739,6-12,692,,81.6,15.8,0.4,2.2,,,Memphis-Shelby County Schools,,2024
470014802452,00792-8280,Granville T. Woods Academy of Innovation Charter School,Memphis,Shelby County,35.229904,-89.898636,KG-8,406,,91.1,6.7,1.2,1.0,,,Memphis-Shelby County Schools,,2024
470014702466,00985-8140,Hillcrest High School,Memphis,Shelby County,35.034367,-90.01452,9-12,476,,93.1,5.0,0.4,1.5,,,Achievement School District,,2024
470014702304,00985-8015,Humes Preparatory Academy Middle School,Memphis,Shelby County,35.158802,-90.03347,,,,,,,,,,Achievement School District,,2024
470318002343,00190-8048,Intrepid College Preparatory Charter School,Antioch,Davidson County,36.04974,-86.64536,5-12,825,,14.8,75.5,8.4,1.3,,,Davidson County,,2024
470159010429,00330-8005,Ivy Academy's Skillern Elementary,Soddy-Daisy,Hamilton County,35.24145,-85.19408,KG-5,277,,6.5,6.1,85.6,1.8,,,Hamilton County,,2024
470159002220,00330-8002,Ivy Academy Inc.,Soddy Daisy,Hamilton County,35.221027,-85.22182,6-12,487,,2.3,5.1,83.8,8.8,,,Hamilton County,,2024
470014810514,00792-8018,Journey Coleman K-8,Memphis,Shelby County,35.213783,-89.92357,KG-8,629,,90.5,6.7,1.0,1.8,,,Memphis-Shelby County Schools,,2024
470014701034,00985-8050,Journey Coleman School,Memphis,Shelby County,35.213783,-89.92357,,,,,,,,,,Achievement School District,,2024
470014802465,00792-8175,Journey East Academy,Memphis,Shelby County,35.05061,-89.83424,KG-8,376,,79.0,17.6,2.4,1.0,,,Memphis-Shelby County Schools,,2024
470318010428,00190-8110,KA @ The Crossings,Antioch,Davidson County,36.047287,-86.65265,5-12,400,,32.5,47.0,16.2,4.3,,,Davidson County,,2024
470318002103,00190-8002,KIPP Academy Nashville,Nashville,Davidson County,36.19477,-86.76882,5-8,388,,57.2,38.1,1.8,2.9,,,Davidson County,,2024
470015702689,00987-8015,KIPP Antioch College Prep Elementary,Antioch,Davidson County,36.046925,-86.61182,KG-4,604,,43.2,23.2,30.0,3.6,,,Tennessee Public Charter School Commission,,2024
470015702690,00987-8020,KIPP Antioch College Prep Middle,Antioch,Davidson County,36.046925,-86.61182,5-8,526,,40.5,25.3,29.5,4.7,,,Tennessee Public Charter School Commission,,2024
470015710495,00987-8022,KIPP Antioch Global High School,Nashville,Davidson County,36.051186,-86.65612,9-12,257,,35.0,39.3,22.6,3.1,,,Tennessee Public Charter School Commission,,2024
470015710517,00987-8023,KIPP Antioch Global Middle School,Antioch,Davidson County,36.051186,-86.65612,5-6,113,,47.8,34.5,8.8,8.9,,,Tennessee Public Charter School Commission,,2024
470318002451,00190-8095,KIPP Kirkpatrick Elementary School,Nashville,Davidson County,36.1676,-86.7518,KG-4,376,,89.1,4.5,3.5,2.9,,,Davidson County,,2024
470014802296,00792-8262,KIPP Memphis Collegiate Elementary,Memphis,Shelby County,35.166428,-90.04044,KG-5,381,,94.8,3.9,0.3,1.0,,,Memphis-Shelby County Schools,,2024
470014802273,00792-8202,KIPP Memphis Collegiate High School,Memphis,Shelby County,35.16724,-89.98793,9-12,346,,91.9,4.6,0.9,2.6,,,Memphis-Shelby County Schools,,2024
470014801928,00792-8238,KIPP Memphis Collegiate Middle,Memphis,Shelby County,35.16686,-90.04005,6-8,301,,93.0,3.0,1.7,2.3,,,Memphis-Shelby County Schools,,2024
470318002347,00190-8042,KIPP Nashville College Prep,Nashville,Davidson County,36.237816,-86.803696,5-8,363,,79.1,14.9,2.5,3.5,,,Davidson County,,2024
470318002488,00190-8085,KIPP Nashville College Prep Elementary,Nashville,Davidson County,36.237816,-86.803696,KG-4,407,,82.1,14.3,1.7,1.9,,,Davidson County,,2024
470318002305,00190-8011,KIPP Nashville Collegiate High School,Nashville,Davidson County,36.1948,-86.769,9-12,438,,58.0,37.7,2.3,2.0,,,Davidson County,,2024
470014702461,00985-8135,Kirby Middle School,Memphis,Shelby County,35.03609,-89.8409,6-8,402,,77.4,20.4,1.2,1.0,,,Achievement School District,,2024
470222010503,00470-8007,Knoxville Preparatory,Knoxville,Knox County,35.982056,-83.92503,6-6,91,,58.2,8.8,22.0,11.0,,,Knox County,,2024
470318002122,00190-8003,Lead Academy,Nashville,Davidson County,36.14863,-86.764206,9-12,487,,29.4,63.2,6.0,1.4,,,Davidson County,,2024
470318002260,00190-8010,LEAD Cameron,Nashville,Davidson County,36.148552,-86.76444,5-8,529,,25.1,66.5,5.7,2.7,,,Davidson County,,2024
470015702456,00987-8090,LEAD Neely's Bend,Nashville,Davidson County,36.24231,-86.674515,5-8,291,,47.8,37.5,9.6,5.1,,,Tennessee Public Charter School Commission,,2024
470318002286,00190-8013,LEAD Southeast,Nashville,Davidson County,36.092655,-86.70377,5-12,833,,13.1,56.3,22.3,8.3,,,Davidson County,,2024
470014802633,00792-8286,Leadership Preparatory Charter School,Memphis,Shelby County,35.085182,-89.922386,KG-8,462,,68.0,27.5,2.2,2.3,,,Memphis-Shelby County Schools,,2024
470015702370,00987-8070,Lester Prep,Memphis,Shelby County,35.141148,-89.96354,6-8,204,,95.6,1.5,2.0,0.9,,,Tennessee Public Charter School Commission,,2024
470015702437,00987-8095,Libertas,Memphis,Shelby County,35.22853,-89.977875,PK-6,576,,73.1,4.9,16.0,6.0,,,Tennessee Public Charter School Commission,,2024
470318002263,00190-8005,Liberty Collegiate Academy,Nashville,Davidson County,36.212124,-86.732864,5-8,241,,41.1,49.8,5.0,4.1,,,Davidson County,,2024
470014701064,00985-8065,Martin Luther King Preparatory High School,Memphis,Shelby County,35.213745,-90.013016,,,,,,,,,,Achievement School District,,2024
470014802045,00792-8205,Memphis Academy Of Science Engineering Middle/High,Memphis,Shelby County,35.143185,-90.01928,6-12,667,,89.8,7.3,0.6,2.3,,,Memphis-Shelby County Schools,,2024
470014802274,00792-8207,Memphis Business Academy Elementary School,Memphis,Shelby County,35.16076,-89.910065,PK-5,322,,31.1,67.7,0.6,0.6,,,Memphis-Shelby County Schools,,2024
470014802531,00792-8340,Memphis Business Academy Hickory Hill Elementary School,Memphis,Shelby County,35.02715,-89.8227,PK-5,183,,86.3,9.8,1.6,2.3,,,Memphis-Shelby County Schools,,2024
470014802539,00792-8335,Memphis Business Academy Hickory Hill Middle School,Memphis,Shelby County,35.02715,-89.8227,6-8,75,,89.3,8.0,0.0,2.7,,,Memphis-Shelby County Schools,,2024
