ncessch,school_name,census_tract,poverty_rate,median_family_income,ami_pct,nmtc_lic_qualified,distressed_community
470369010509,American Classical Academy Rutherford,47149040200,7.48,90147.0,1.2274,false,false
470014802317,Arrow Academy of Excellence,47157007000,45.55,26143.0,0.3559,true,true
470014802632,Aurora Collegiate Academy,47157008600,1.72,145871.0,1.986,false,false
470318010427,Aventura Community Schools,47037017402,20.96,99351.0,1.3527,true,true
470014802635,Beacon College Preparatory,47157020621,10.0,74777.0,1.0181,false,false
470014802489,Believe Memphis Academy Charter School,47157007821,39.81,49886.0,0.6792,true,true
470015702688,Bluff City High School,47157021746,11.46,55489.0,0.7555,true,true
470014702309,Brick Church: A LEAD Public School,47037012701,38.41,42326.0,0.5763,true,true
470159010476,Chatt Academy Community School,47065003300,13.49,93056.0,1.267,false,false
470159002284,Chattanooga Charter School of Excellence,47065002600,35.48,36000.0,0.4901,true,true
470159010430,Chattanooga Charter School of Excellence High,47065001900,28.86,38810.0,0.5284,true,true
470159002434,Chattanooga Charter School of Excellence Middle,47065002600,35.48,36000.0,0.4901,true,true
470159002211,Chattanooga Girls Leadership Academy,47065001400,11.07,74034.0,1.008,false,false
470159002510,Chattanooga Preparatory School,47065001400,11.07,74034.0,1.008,false,false
470014802044,Circles Of Success Learning Academy,47157005900,68.78,25278.0,0.3442,true,true
470014802352,City University School Girls Preparatory,47157022121,23.73,63214.0,0.8607,true,true
470014802400,City University School of Independence,47157022121,23.73,63214.0,0.8607,true,true
470014802083,City University School Of Liberal Arts,47157022121,23.73,63214.0,0.8607,true,true
470014802585,Compass Community School Berclair Campus,47157002900,3.26,159894.0,2.177,false,false
470014802589,Compass Community School Binghampton Campus,47157002700,25.84,63000.0,0.8577,true,true
470014802605,Compass Community School Frayser Campus,47157009901,43.58,33884.0,0.4613,true,true
470014802594,Compass Community School Hickory Hill Campus,47157010820,18.14,69813.0,0.9505,false,false
470014802611,Compass Community School Midtown Campus,47157003200,12.25,76658.0,1.0437,false,false
470014802582,Compass Community School Orange Mound Campus,47157006800,29.56,41979.0,0.5715,true,true
470015702295,Cornerstone Prep - Lester,47157002800,49.86,22610.0,0.3078,true,true
470014702295,Cornerstone Prep - Lester Campus,47157002800,49.86,22610.0,0.3078,true,true
470015701046,Cornerstone Prep Denver Campus,47157010121,48.0,31681.0,0.4313,true,true
470015710445,Cornerstone Prep School,47157010710,29.22,49777.0,0.6777,true,true
470014802548,Crosstown High School,47157002500,26.8,77400.0,1.0538,true,true
470318002258,East End Preparatory School,47037011500,5.29,93068.0,1.2671,false,false
470222002448,Emerald Academy,47093007000,39.03,26182.0,0.3565,true,true
470318002449,Explore Community School,47037019200,13.3,109722.0,1.4939,false,false
470014701058,Fairley High School,47157022700,23.05,41645.0,0.567,true,true
470014802471,Freedom Prep Elementary - Millbranch,47157022025,58.63,20813.0,0.2834,true,true
470014802636,Freedom Prep Elementary - Parkrose,47157022330,43.1,37407.0,0.5093,true,true
470014802565,Freedom Prep Middle - Brownlee,47157022111,25.16,50676.0,0.69,true,true
470014802208,Freedom Preparatory Academy Flagship,47157022410,11.72,73984.0,1.0073,false,false
470014802452,Granville T. Woods Academy of Innovation Charter School,47157020532,24.18,40227.0,0.5477,true,true
470014702466,Hillcrest High School,47157022111,25.16,50676.0,0.69,true,true
470014702304,Humes Preparatory Academy Middle School,47157002000,27.64,43750.0,0.5957,true,true
470318002343,Intrepid College Preparatory Charter School,47037015629,16.03,61571.0,0.8383,false,false
470159010429,Ivy Academy's Skillern Elementary,47065010308,6.19,92560.0,1.2602,false,false
