"","LICENSE NUMBER","PROVIDER NAME","PROVIDER SERVICE TYPE","STREET ADDRESS","CITY","STATE","ZIP","COUNTY","ECC","CCRR","SCHOOL DISTRICT OPERATED PROGRAM","SCHOOL DISTRICT","QUALITY RATING","QUALITY RATING EFFECTIVE DATE","QUALITY RATING EXPIRATION DATE","CCCAP FISCAL AGREEMENT STATUS","CCCAP AUTHORIZATION STATUS","TOTAL LICENSED CAPACITY","LICENSED HOME CAPACITY","LICENSED CENTER INFANT CAPACITY","LICENSED CENTER TODDLER CAPACITY","LICENSED CENTER PRESCHOOL CAPACITY","LICENSED PRESCHOOL AND SCHOOL AGE CAPACITY","LICENSED SCHOOL AGE CAPACITY","LICENSED NYO CAPACITY","LICENSED RESIDENT CAMP CAPACITY","GOVERNING BODY"
"1","1694465","Thorne Nature Experience","School-Age Child Care Center","1241 Ceres Drive","Lafayette","CO","80026","Boulder","Early Childhood Council of Boulder County","ECC Boulder Co",FALSE,"Boulder Valley School District",NA,NA,NA,TRUE,FALSE,80,0,0,0,NA,NA,80,0,0,NA
"2","1694743","Thorne Nature Experience Summer Camp Chautauq","School-Age Child Care Center","355 Ponca Place","Boulder","CO","80303","Boulder","Early Childhood Council of Boulder County","ECC Boulder Co",FALSE,"Boulder Valley School District",NA,NA,NA,FALSE,FALSE,65,0,0,0,NA,NA,65,0,0,"Thorne Nature Experience"
"3","1700681","Impact Sports","School-Age Child Care Center","ONE SUPERIOR DR UNIT B","SUPERIOR","CO","80027","Boulder","Early Childhood Council of Boulder County","ECC Boulder Co",FALSE,"BOULDER VALLEY SCHOOL DISTRICT",NA,NA,NA,FALSE,FALSE,100,0,0,0,NA,NA,100,0,0,NA
"4","1701136","Amanda Vogt","Large Family Child Care Home",NA,"Wellington","CO","80549","Larimer","Early Childhood Council of Larimer County","ECC of Larimer County",FALSE,"Poudre School District",1,NA,NA,FALSE,FALSE,8,8,0,0,NA,NA,0,0,0,NA
"5","1702106","EAST LAKE MONTESSORI","Child Care Center","12585 3rd ST","EastLake","CO","80614","Adams","Early Childhood Partnership of Adams County","Child Care Innovations",FALSE,"Adams 12",1,NA,NA,FALSE,FALSE,30,NA,NA,NA,0,30,NA,NA,NA,NA
"6","1702648","JCC CAMP SHAI AT GRALAND","School-Age Child Care Center","55 N Clermont ST","Denver","CO","80246","Denver","Denver's Early Childhood Council","Denver's ECC",FALSE,"Denver Public Schools",NA,NA,NA,FALSE,FALSE,275,0,0,0,NA,NA,275,0,0,NA
"7","1527476","MESA ELEMENTARY SCHOOL","Preschool Program","9100 Lowell BLVD","Westminster","CO","80030","Adams","Early Childhood Partnership of Adams County","Child Care Innovations",TRUE,"Westminster Public Schools",4,2023-07-11,2029-06-30,FALSE,FALSE,20,NA,NA,NA,0,20,NA,NA,NA,NA
"8","1676722","LIGHTWAY AT THE RIDGE","Child Care Center","4340 Harlan ST","Wheat Ridge","CO","80033","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"Jefferson County Public School",1,NA,NA,FALSE,FALSE,15,0,5,10,NA,NA,0,0,0,NA
"9","1679384","Denver Child Care Academy","Child Care Center","3145 W Florida BLVD","Denver","CO","80219","Denver","Denver's Early Childhood Council","Denver's ECC",FALSE,"DENVER PUBLIC SCHOOLS",4,2024-04-30,2027-09-30,TRUE,TRUE,93,0,18,30,0,45,0,0,0,NA
"10","1696651","TINY HEART ACADEMY","Child Care Center","12755 W Cedar DR","Lakewood","CO","80228","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"Jefferson County Public School",2,2025-09-10,2028-09-10,TRUE,FALSE,79,0,21,32,26,0,0,0,0,NA
"11","1699440","Kara Glock","Large Family Child Care Home",NA,"Fort Collins","CO","80524","Larimer","Early Childhood Council of Larimer County","ECC of Larimer County",FALSE,NA,1,NA,NA,FALSE,FALSE,12,12,0,0,NA,NA,0,0,0,NA
"12","1704715","KCE Champions LLC at Larkspur PRS","Child Care Center","1103 Perry Park Avenue","Larkspur","CO","80118","Douglas","Douglas County Early Childhood Council","Child Care Innovations",FALSE,"Douglas County School District",1,NA,NA,TRUE,FALSE,40,NA,NA,NA,40,0,NA,NA,NA,NA
"13","1704833","Castle Rock Elementary BASE","School-Age Child Care Center","1103 Canyon Drive","Castle Rock","CO","80104","Douglas","Douglas County Early Childhood Council","Child Care Innovations",TRUE,"Douglas County School District",NA,NA,NA,TRUE,TRUE,100,0,0,0,NA,NA,100,0,0,NA
"14","1705028","Angelita Maddox","Large Family Child Care Home",NA,"Greeley","CO","80634","Weld","Weld County’s Early Childhood Council","Promises for Children",FALSE,"District 6",1,NA,NA,TRUE,FALSE,12,12,0,0,NA,NA,0,0,0,NA
"15","1706384","Shelley Sanchez","Large Family Child Care Home",NA,"Arvada","CO","80005","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"Jefferson County Public School",1,NA,NA,FALSE,FALSE,12,12,0,0,NA,NA,0,0,0,NA
"16","1706855","CLEVER KIDS LEARNING CENTER","Child Care Center","BLDG 64 Denver Federal Center","Denver","CO","80225","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"Jefferson County Public School",4,2025-07-10,2029-05-01,FALSE,FALSE,122,0,18,40,64,0,0,0,0,NA
"17","1641212","KEYSTONE SCIENCE SCHOOL","School-Age Child Care Center","1053 Soda Ridge RD","Dillon","CO","80435","Summit","Summit County Early Childhood Learning Council","Early Childhood Options",FALSE,NA,NA,NA,NA,FALSE,FALSE,182,0,0,0,NA,NA,182,0,0,NA
"18","1702990","JACOB ACADEMY","Child Care Center","1139 S Alkire ST","Lakewood","CO","80228","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"Jefferson County School District",1,NA,NA,TRUE,FALSE,96,0,19,25,52,0,0,0,0,NA
"19","1703216","Revere Lil' Raiders","Child Care Center","500 Main ST","Ovid","CO","80744","Sedgwick","Early Childhood Council of Logan, Phillips, and Sedgwick Counties","ECC Logan, Phillips, Sedgewick",FALSE,NA,1,NA,NA,FALSE,FALSE,20,NA,NA,NA,0,20,NA,NA,NA,NA
"20","1704758","AMAN STEAM ACADEMY","School-Age Child Care Center","3555 N. Pecos St.","Denver","CO","80211","Denver","Denver's Early Childhood Council","Denver's ECC",FALSE,"DENVER COUNTY 1",NA,NA,NA,FALSE,FALSE,41,0,0,0,NA,NA,41,0,0,"Aman Steam Academy, INC"
"21","1701257","Vanessa Clark","Large Family Child Care Home",NA,"Lakewood","CO","80228","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"Jefferson County Public School",1,NA,NA,FALSE,FALSE,12,NA,NA,NA,0,12,NA,NA,NA,NA
"22","1700899","LITTLE EINSTEIN'S ACADEMY","Child Care Center","3105 W IOWA AVE","DENVER","CO","80219","Denver","Denver's Early Childhood Council","Denver's ECC",FALSE,"Denver Public Schools",4,2025-06-30,2028-06-30,TRUE,TRUE,75,0,0,22,0,53,0,0,0,NA
"23","1703691","Lacy Fraire","Experienced Family Child Care Home",NA,"Henderson","CO","80640","Adams","Early Childhood Partnership of Adams County","Child Care Innovations",FALSE,"BRIGHTON 27J",2,2024-02-28,2027-09-30,TRUE,FALSE,9,9,0,0,NA,NA,0,0,0,NA
"24","1703767","Clubhouse Academy LLC","Child Care Center","1005 W South 1st St","Johnstown","CO","80534","Weld","Weld County’s Early Childhood Council","Promises for Children",FALSE,"School District RE-5J (Johnstown and Milliken)",2,2025-05-07,2028-05-07,TRUE,TRUE,30,0,10,10,0,10,0,0,0,"Michelle E Simon"
"25","1702638","ELK CREEK PRESCHOOL","Child Care Center","3304 S Highway 285","Pine","CO","80470","Jefferson","Triad Early Childhood Council","Child Care Innovations",FALSE,"Jefferson County Public School",4,2024-01-26,2027-09-30,TRUE,FALSE,40,NA,NA,NA,40,0,NA,NA,NA,NA
"26","11269","FEDERAL HEIGHTS ELEMENTARY PRESCHOOL","Preschool Program","2500 W 96th AVE","Denver","CO","80260","Adams","Early Childhood Partnership of Adams County","Child Care Innovations",TRUE,"NORTHGLENN-THORNTON 12",1,NA,NA,FALSE,FALSE,32,NA,NA,NA,32,0,NA,NA,NA,NA
"27","1527820","CHAPMAN PAVILLION - DURANGO PARKS & REC","School-Age Child Care Center","500 Florida Rd","Durango","CO","81301","La Plata","Early Childhood Council of La Plata County","ECC La Plata Co",FALSE,NA,NA,NA,NA,TRUE,TRUE,100,0,0,0,NA,NA,100,0,0,"City of Durango"
"28","1564838","The Club @AnimasValley","School-Age Child Care Center","373 Hermosa Meadows RD","Durango","CO","81301","La Plata","Early Childhood Council of La Plata County","ECC La Plata Co",TRUE,"Durango School District 9-R",NA,NA,NA,TRUE,TRUE,30,0,0,0,NA,NA,30,0,0,NA
