state_usps,state_name,nacsa_col_1,nacsa_col_2,nacsa_col_3,nacsa_col_4
AL,Alabama,ICB,LEA,,
AK,Alaska,LEA,,,
AZ,Arizona,"ICB, HEI",SEA,,
AR,Arkansas,SEA,,,
CA,California,LEA,SEA,,
CO,Colorado,LEA,ICB,ICB,
CT,Connecticut,SEA,,,
DE,Delaware,"LEA, SEA",,,
DC,District of Columbia,ICB,,,
FL,Florida,LEA,HEI,,
GA,Georgia,"LEA, ICB, SEA",,,
HI,Hawaii,ICB,"HEI, NEG, NFP",,
ID,Idaho,"LEA, ICB",HEI,,
IL,Illinois,LEA,,,
IN,Indiana,"LEA, HEI, ICB, NEG",,,
IA,Iowa,LEA,,,
KS,Kansas,LEA,,,
KY,Kentucky,"LEA, NEG",,,
LA,Louisiana,"LEA, SEA",,,
ME,Maine,ICB,LEA,,
MD,Maryland,LEA,,,
MA,Massachusetts,SEA,,,
MI,Michigan,"LEA, HEI",,,
MN,Minnesota,"LEA, HEI, NFP",,,
MS,Mississippi,ICB,,,
MO,Missouri,"LEA, HEI, ICB",SEA,,
MT,Montana,No Charter Law,,,
NE,Nebraska,No Charter Law,,,
NV,Nevada,"LEA, ICB",HEI,,
NH,New Hampshire,"LEA, SEA",,,
NJ,New Jersey,SEA,,,
NM,New Mexico,"LEA, SEA",,,
NY,New York,"LEA, SEA, HEI",,,
NC,North Carolina,SEA,,,
ND,North Dakota,No Charter Law,,,
OH,Ohio,"LEA, SEA, HEI, NFP","SEA, NEG",,
OK,Oklahoma,"LEA, HEI",SEA,"ICB, NEG",
OR,Oregon,LEA,SEA,HEI,
PA,Pennsylvania,"LEA, SEA",,,
RI,Rhode Island,SEA,,,
SC,South Carolina,"LEA, ICB, HEI",,,
SD,South Dakota,No Charter Law,,,
TN,Tennessee,LEA,ICB,,
TX,Texas,"LEA, SEA",,,
UT,Utah,"LEA, ICB, HEI",,,
VT,Vermont,No Charter Law,,,
VA,Virginia,LEA,,,
WA,Washington,"ICB, LEA",,,
WV,West Virginia,LEA,,,
WI,Wisconsin,"LEA, HEI",NEG,,
WY,Wyoming,LEA,,,
